% Data collected at the edge of a turbulent plume of dye 
% released from a point-source in uniformly shear flow. 
% 
% This is PlumeData2.txt, acquired at a position y = 18.5 mm 
% above the centreline of the plume. The data consists of 
% 1000 independent samples of the concentration and velocity
% at this point.
%
% C, concentration normalised by the source concentration (unitless)
% U, streamwise velocity (mm/s)
% V, vertical velocity in the direction of the shear (mm/s)
% W, spanwise velocity (mm/s)
%
% Details of the experiment are provided by Vanderwel & Tavoularis (2014). 
% Measurements of turbulent diffusion in uniformly sheared flow. 
% Journal of fluid mechanics, 754, 488-514.
% 
C,U,V,W
0.0221182873728737,165.483426342694,14.0709514474867,3.12457088010221
0,151.370375486306,4.44243337024388,8.06065920590622
0,195.90118336087,9.50325911302466,-9.23194593554182
0,177.272080966377,12.5795923751456,6.1688228121459
0,177.330110790657,-11.6197158677227,-4.73608977216072
0,169.661823213409,-2.14978127672614,4.21409484285613
0,181.208523298554,-6.12721983594646,-2.42068667444445
0,190.199776874318,7.31380099335473,-1.92372556990621
0,177.307214247309,2.58814572836737,7.86566528327201
0,175.264878552399,-8.28796677799991,3.74933223246992
0,188.753689865889,9.49606230336198,-3.57721492878528
0,179.314554721984,-9.15918058588607,11.2325086511857
0,169.992421585893,3.48865607658135,0.463289492736261
0,165.405258655787,1.4717862039707,5.45411826508575
0,183.334422447072,8.83678716697518,0.568739736310134
0,179.70839882656,-10.8142859733299,-2.42919626549704
0,177.289072565039,18.3699527285923,-5.62657150294341
0,189.289858083421,3.65617761256834,-3.3142602630149
0,185.566909520348,-5.98666763387816,-0.487785166775847
0,190.497267278302,1.63453626572952,-5.63742976106577
0,186.057435377999,-3.22127636235949,0.583081394861308
0,166.611492434823,7.20700937167409,0.041031768865663
0,173.541166681054,-0.444788125852,-1.27132813367224
0,200.404811969441,-11.4490663148994,0.25631590626297
0,191.141943604235,12.839366589563,-2.22900628523469
0,176.108570006788,-0.500711277677318,7.37926874864295
0,181.955709058923,1.91815245279985,-1.15178969594208
0,187.124158189113,-4.08829512688843,9.49636819013626
0,173.807975944941,-5.07334450684171,-3.39542979910097
0,174.853845257704,3.68944966359042,-0.00107425016690219
0,199.767110875251,-6.91371211113,0.171850434494173
0,188.936845746723,4.04358105994374,-3.86247484908189
0,171.04449349714,21.3011900856232,7.79997475272015
0,184.846792522933,-8.21492323386212,16.3398747495255
0,194.884880569729,-1.47085552500502,14.2127070100249
0,172.158177211124,-2.83639660209061,9.42274131679297
0,189.742996090955,-4.03451065668082,-13.9505952138658
0,179.112098208991,8.90674578381982,7.48698866820731
0,174.511001281354,-2.0896386225751,3.3181170950189
0,189.002836226806,2.82956144475981,-7.2492130979404
0,184.245591383916,4.51357776589677,-2.26100133232385
0,172.546154369371,-8.12075548771331,-0.0198955439369737
0,182.161238372389,-11.7881535995125,2.86762216265862
0,176.182333684112,-4.55737709166323,-8.10254910928304
0,169.347560334622,17.0910239364427,2.83319455030432
0,194.193654989794,20.481327559269,2.23084968609741
0,180.238714030493,-10.9243099193161,-1.02246838080654
0,168.85809209791,-1.56010252844474,6.09022289392784
0,185.081975754244,1.95957161194706,0.267774236616901
0,176.7077167013,-6.82959892321794,3.85814450089781
0,172.618351247773,-0.892544160879607,1.22094175065508
0,165.798603715274,-12.0818941989607,-0.0610390096658735
0,166.450065281165,-13.645506880063,-0.993846788769741
0,161.454071694462,7.95011030865922,-0.0671743886594561
0,172.560156763945,7.68727235247073,-7.08265135691279
0,169.052912207747,7.20564264795505,12.3718582366973
0,174.885243300137,-6.31035443732882,7.49141559554891
0,175.195197165234,-8.81544487517502,12.8490865692972
0,198.018897663278,-2.37903283338697,-2.43065645132088
0,173.634784499939,12.7093454738255,2.70611650627475
0,177.89852821382,5.31888310187302,11.3775093129979
0,177.943536001138,0.617890467675408,5.85014991726542
0,157.598078217226,4.14155467552139,16.7213141321147
0,177.004144417898,-6.35318324089789,8.41692843720162
0,182.271379143532,-7.92107758478928,13.1939201554558
0,183.025631331701,-0.594258853407556,-14.5004236032683
0,177.639901262819,-3.0340068872514,4.41010711156397
0,178.289666835373,13.6406335116077,1.18792101015373
0,176.387419683413,-11.2456953476952,4.681468821063
0,178.274696749306,-11.5167682251513,0.155594160939332
0,180.030475434169,-0.100073739747903,8.51982385182291
0,180.502530290456,3.1771126036522,3.73111247050373
0,189.639790019974,3.47133523798772,2.31758067322524
0,174.895966436498,2.03944334705019,4.74461001314347
0,173.331680472007,-1.25696367858068,11.7985942022557
0,181.708984459963,-9.64522232075154,4.21853524773999
0.00130965277401954,178.344145079881,5.32910848944233,2.83180373127292
0,189.955149784668,-2.34177576094902,6.12440611697908
0,190.658451242475,-6.30380513166851,-9.34373880400285
0,183.059524599581,-7.88998125821688,5.16713597030163
0,177.836661822089,2.01519458417321,1.23319171623071
0.0027490484765142,163.802729878146,-3.06398750932949,19.6535919316598
0,182.924584834012,2.76962415985416,1.47561316236401
0,187.960851612745,3.49079164362018,-2.44650776530174
0,179.021910375137,-10.9651032583866,10.2010944280066
0,186.427905426539,-1.55688886872935,3.66291399890932
0,179.463214427672,-8.76362576361039,7.38307648088187
0,175.165061934867,10.1004361765523,1.288689199563
0,187.787821027454,7.24600634336265,-3.42672728442373
0,188.916844678182,1.75113172328434,-1.52481723924178
0,181.751484355715,-8.72769253809954,-0.0216095444375872
0,167.633559576729,2.6521582356391,5.01009687483217
0,167.392377671451,0.848585597011194,-0.689378226476992
0,185.310889256641,-4.49162636241212,-10.4065325849978
0,187.400195987316,2.80434671219042,1.43442868945633
0,185.451827696176,4.40223157109153,0.964783055172867
