% Data collected at the edge of a turbulent plume of dye 
% released from a point-source in uniformly shear flow. 
% 
% This is PlumeData1.txt, acquired at a position y = 16.1 mm 
% above the centreline of the plume. The data consists of 
% 1000 independent samples of the concentration and velocity
% at this point.
%
% C, concentration normalised by the source concentration (unitless)
% U, streamwise velocity (mm/s)
% V, vertical velocity in the direction of the shear (mm/s)
% W, spanwise velocity (mm/s)
%
% Details of the experiment are provided by Vanderwel & Tavoularis (2014). 
% Measurements of turbulent diffusion in uniformly sheared flow. 
% Journal of fluid mechanics, 754, 488-514.
% 
C,U,V,W
0.0527622545151458,162.545470638646,11.7803179622627,5.86708070866113
0,150.629745709141,5.74786282764388,7.91363473576468
0,188.116539747876,11.0029660186987,-6.65694213686949
0,175.190014189332,12.5261633998538,8.61505119799081
0,176.282336493593,-13.4666018279352,-7.3862324918203
0,170.81326716141,-1.29027857237926,3.18232168734474
0,179.900780708486,-2.79663197205707,-1.60559871586951
0,193.494196432496,11.9706674664382,-3.74152527210517
0,182.092946458481,1.55903311218341,6.80143204732773
0,172.630296664619,-16.1531533561886,5.25606606348536
0,184.675689720957,9.71870378111126,-0.282385995208427
0,181.807867584523,-11.0154985695334,-0.499247251199232
0,170.113371623006,7.54714533177866,1.50446266970913
0,169.546291742012,2.15916908748917,5.62306644641969
0,182.115352823023,5.70311901511031,-0.274022678039678
0,186.586665095533,-13.0829793308838,-3.64897299543073
0,180.806937662035,19.0404726871166,-7.59058149121621
0,183.532252026787,-1.63295984105134,0.15151675539942
0,186.300350008359,-10.133266331544,0.263082426587495
0,181.172761778119,0.985930442118939,3.03390227797234
0,186.573798851834,-2.40464837688158,-0.846927756647471
0,168.517664817068,1.62326019142762,1.57310923742386
0,168.077162529866,-5.94627601363628,-0.0551362419689717
0,197.246560790376,-8.04965959191654,0.885112795473067
0,189.994811203148,14.645051920763,-0.312766546206417
0,181.899470223872,-5.89003880143175,7.92023372934823
0,181.705638071318,-1.39701514097149,-5.45249141094737
0,182.946131169073,-2.16199341185737,2.25539753203894
0,174.885307897344,-1.6389753638014,-2.20857151096675
0,177.716204497006,-1.40920309667943,-3.81285040981305
0,190.337713443646,-10.2175500321356,-2.27020857049071
0,186.925767500325,1.20739450267761,-6.26182979754538
