time, U, V, W
0,0.48306483,-0.0111105619,-0.0276677161
0.0065,0.505075455,-0.009027381,-0.0302462541
0.013,0.523422658,-0.007561781,-0.033542458
0.0195,0.538381457,-0.00661290064,-0.03697801
0.026,0.5506129,-0.00601982232,-0.0400473066
0.0325,0.5609043,-0.00571176223,-0.04247961
0.039,0.569656551,-0.00579230534,-0.044430282
0.0455,0.5772046,-0.00625256,-0.0461000279
0.052,0.583789349,-0.00700855674,-0.0477521643
0.0585,0.5896511,-0.007891187,-0.0496517643
0.065,0.5951221,-0.008721666,-0.0517609343
0.0715,0.600645065,-0.009401317,-0.05413171
0.078,0.606631339,-0.00990362,-0.0568279251
0.0845,0.613480151,-0.0102965739,-0.0598772243
0.091,0.621004,-0.0106518473,-0.0633152053
0.0975,0.6286051,-0.01101111,-0.06697057
0.104,0.6353105,-0.0113718109,-0.07047722
0.1105,0.6398728,-0.0116801485,-0.0732041746
0.117,0.641528249,-0.011930543,-0.07418917
0.1235,0.639938831,-0.012157958,-0.07276084
0.13,0.6351456,-0.0123782791,-0.068815574
0.1365,0.6275336,-0.0125562213,-0.06299031
0.143,0.618127465,-0.0126089575,-0.0564214662
0.1495,0.6083381,-0.0125189675,-0.0500550047
0.156,0.599435747,-0.0123742586,-0.0446326025
0.1625,0.5922454,-0.0124025038,-0.040681012
0.169,0.586728334,-0.0129088713,-0.0385336
0.1755,0.5824896,-0.01395383,-0.038117215
0.182,0.579277337,-0.015379997,-0.0390385762
0.1885,0.5770184,-0.0167783741,-0.04075016
0.195,0.5758508,-0.0176382028,-0.0427369252
0.2015,0.5755686,-0.0179932062,-0.0449293144
0.208,0.5760138,-0.0179879125,-0.0471910946
0.2145,0.5769609,-0.0178122055,-0.04939992
0.221,0.578121841,-0.0174287371,-0.0515538976
0.2275,0.5792863,-0.0166042931,-0.0537037365
0.234,0.5802206,-0.01518163,-0.0559610128
0.2405,0.5807951,-0.0131004695,-0.0583439
0.247,0.5807046,-0.0104658976,-0.06075733
0.2535,0.5800321,-0.007065242,-0.06301098
0.26,0.5789304,-0.002846477,-0.06491135
0.2665,0.5775432,0.0019486571,-0.06620773
0.273,0.576062262,0.00662953,-0.06651516
0.2795,0.573962867,0.01050717,-0.06558359
0.286,0.5707134,0.01341526,-0.06340784
0.2925,0.5662711,0.0153385429,-0.0600432232
0.299,0.5612875,0.0163914338,-0.05551909
0.3055,0.5564964,0.015539336,-0.04925791
0.312,0.550821662,0.0104304133,-0.0399225056
0.3185,0.5427605,-0.000114438939,-0.02656108
0.325,0.530715048,-0.0157301724,-0.009074765
0.3315,0.513892055,-0.0335415937,0.0110488394
0.338,0.495081723,-0.0480978563,0.0297095422
0.3445,0.476795435,-0.05598597,0.04331005
0.351,0.461124033,-0.0559954569,0.0494336225
0.3575,0.449484885,-0.04946029,0.047114782
0.364,0.440936118,-0.0396813527,0.03938189
0.3705,0.434694,-0.02878893,0.0289104786
0.377,0.429952323,-0.0179910287,0.0180947911
0.3835,0.426103532,-0.00710106548,0.008832955
0.39,0.422883868,0.00311133685,0.00102883868
0.3965,0.42001754,0.0117355827,-0.00541949132
0.403,0.417280138,0.0180099588,-0.0105834361
0.4095,0.414547831,0.0209985189,-0.0145464353
0.416,0.411866516,0.0212079883,-0.01702488
0.4225,0.409515619,0.019521229,-0.0179617275
0.429,0.407871872,0.0164668057,-0.0176116712
0.4355,0.407292783,0.01255216,-0.016500948
0.442,0.408033371,0.008028803,-0.0152105615
0.4485,0.4104386,0.00304404926,-0.0138707543
0.455,0.415008843,-0.00203044666,-0.0125911543
0.4615,0.422444,-0.00675810361,-0.01147017
0.468,0.4337011,-0.0106170671,-0.0107296892
0.4745,0.4493275,-0.0131943449,-0.011265099
0.481,0.469299644,-0.0142582357,-0.0137667637
0.4875,0.4929197,-0.0138306329,-0.0187079087
0.494,0.518775761,-0.0121757258,-0.0263339318
0.5005,0.544839442,-0.009919921,-0.0357885845
0.507,0.569444835,-0.007550747,-0.04619566
0.5135,0.5913375,-0.00545351766,-0.05665041
0.52,0.6097905,-0.00393469445,-0.06637075
0.5265,0.62493515,-0.00297456165,-0.07514986
0.533,0.6369295,-0.002496504,-0.08288115
0.5395,0.646002531,-0.00235928455,-0.089545995
0.546,0.652390361,-0.00237678341,-0.0951229557
0.5525,0.656491,-0.00247063837,-0.0996845961
0.559,0.658801734,-0.002648414,-0.103404284
0.5655,0.659692764,-0.00294006243,-0.106442139
0.572,0.6594121,-0.00335754,-0.108933926
0.5785,0.6580029,-0.0038409452,-0.11089509
0.585,0.6553998,-0.00428607361,-0.112343989
0.5915,0.651631057,-0.004581442,-0.11341285
0.598,0.646714151,-0.004638573,-0.114318132
0.6045,0.6407074,-0.00440098532,-0.11522086
0.611,0.633996665,-0.00386516727,-0.115786813
0.6175,0.626877964,-0.00308171,-0.11576543
